"1990M01","European Union - 27 countries (2007-2013)","Reporting country","Percentage change compared to same period in previous year","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Reporting country","Percentage change compared to same period in previous year","Hotels and similar accommodation","",""
"1990M01","European Union - 27 countries (2007-2013)","Reporting country","Percentage change compared to same period in previous year","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Reporting country","Percentage change compared to same period in previous year","Holiday and other short-stay accommodation","",""
"1990M01","European Union - 27 countries (2007-2013)","Reporting country","Percentage change compared to same period in previous year","Camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Number","Hotels and similar accommodation","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Number","Holiday and other short-stay accommodation","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Number","Camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Percentage change compared to same period in previous year","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Percentage change compared to same period in previous year","Hotels and similar accommodation","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Percentage change compared to same period in previous year","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Percentage change compared to same period in previous year","Holiday and other short-stay accommodation","",""
"1990M01","European Union - 27 countries (2007-2013)","Total","Percentage change compared to same period in previous year","Camping grounds, recreational vehicle parks and trailer parks","",""
